,Model,Dataset,r2,PearsonR,SpearmanR,R2,RMSE,MAE
0,optimus,random_50,0.9338504466555054,0.9663593775896747,0.9506871551737416,0.8232671531276297,0.7751162122260905,0.6519299286718456
1,framepool,random_50,0.9097982335008735,0.9538334411734957,0.931777610629273,0.9021292441450196,0.576812489179146,0.42660694009627925
2,lm,random_50,0.9456773034628525,0.9724594096736645,0.9573634792704551,0.9442894489081927,0.4351879994983819,0.305489903485775
3,optimus,random_100,0.837656035360873,0.9152355081403218,0.9092000573336657,0.3960548353598331,1.0926006308105158,0.9621825822351002
4,framepool,random_100,0.8349863308905304,0.9137758646903136,0.8937842248690653,0.13426422507398195,1.3081434614671739,1.1968493901876824
5,lm,random_100,0.8914664196575656,0.9441749941920544,0.925791497943981,0.8881913521121894,0.470110974914748,0.3430525461623543
6,optimus,human_100,0.7778260556862102,0.8819444742647977,0.8393627995671378,0.08313741149981979,1.1443189080626726,1.020658241328453
7,framepool,human_100,0.7991539139211427,0.8939540893810727,0.8416297030032054,-0.22551204509223477,1.3229814047730293,1.2203661091714793
8,lm,human_100,0.8282867728596714,0.910102616664556,0.8546467314694163,0.8281716282686173,0.49538446721188567,0.35917468122745816
