,train_loss
1,0.8207495808601379
2,0.5193260312080383
3,0.4607962667942047
4,0.4207535684108734
5,0.39470142126083374
6,0.3693581819534302
7,0.34905341267585754
8,0.3257061243057251
9,0.30942925810813904
10,0.29831165075302124
11,0.28442880511283875
12,0.27524834871292114
13,0.26338991522789
14,0.25202372670173645
15,0.2442908138036728
16,0.23640921711921692
17,0.2293108105659485
18,0.22396577894687653
19,0.21817195415496826
20,0.2130713313817978
21,0.20821456611156464
22,0.20358484983444214
23,0.19921600818634033
24,0.195061594247818
25,0.19179010391235352
26,0.18753942847251892
27,0.18500787019729614
28,0.18160594999790192
29,0.17880095541477203
30,0.17576880753040314
31,0.17350320518016815
32,0.17160405218601227
33,0.16875605285167694
34,0.16732816398143768
35,0.16532562673091888
36,0.16341479122638702
37,0.1617494374513626
38,0.16077393293380737
39,0.15909437835216522
40,0.15794402360916138
41,0.15649737417697906
42,0.15535405278205872
43,0.15423138439655304
44,0.15317091345787048
45,0.15236034989356995
46,0.151644766330719
47,0.15044713020324707
48,0.14967671036720276
49,0.14851847290992737
50,0.1476956605911255
51,0.14708951115608215
52,0.14639230072498322
53,0.1456010341644287
54,0.14551056921482086
55,0.14427922666072845
56,0.14401957392692566
57,0.1434164047241211
58,0.14265446364879608
59,0.14236468076705933
60,0.14156121015548706
61,0.14149406552314758
62,0.1407351791858673
63,0.1405360847711563
64,0.14011718332767487
65,0.13959577679634094
66,0.13940690457820892
67,0.1388643980026245
68,0.13864050805568695
69,0.1383764147758484
70,0.13792827725410461
71,0.13780036568641663
72,0.13716286420822144
73,0.13689550757408142
74,0.1365111917257309
75,0.1362541913986206
76,0.1362144500017166
77,0.13577379286289215
78,0.13562838733196259
79,0.13531586527824402
80,0.13535067439079285
81,0.13501782715320587
82,0.1346709132194519
83,0.13421311974525452
84,0.13434074819087982
85,0.13394267857074738
86,0.13376909494400024
87,0.1334795206785202
88,0.13297586143016815
89,0.13293896615505219
90,0.13259993493556976
91,0.13286682963371277
92,0.13224521279335022
93,0.13223229348659515
94,0.13189268112182617
95,0.13212500512599945
96,0.1316201537847519
97,0.13135775923728943
98,0.13088738918304443
99,0.13108029961585999
100,0.13068312406539917
101,0.1305592805147171
102,0.13060535490512848
103,0.13032785058021545
104,0.1299377679824829
