,Train_r2,Train_PearsonR,Train_SpearmanR,Train_R2,Train_RMSE,Train_MAE
192,0.8954022825353648,0.9462569854618598,0.9351695673547274,0.895328001386812,0.523693737811897,0.362439538604814
193,0.8953405482046335,0.9462243646221722,0.935170813493572,0.8952657591803284,0.5238494194169662,0.3622929172979437
194,0.8954880305498555,0.9463022934294613,0.9353561466700868,0.8954122265904243,0.5234829981257121,0.36226366278130046
195,0.8957619590512959,0.9464470186182092,0.9355674032244441,0.8956852729258314,0.5227992254367824,0.36153789233372224
196,0.8956182459954002,0.946371093174026,0.9351992806452445,0.895543465901055,0.5231544553563651,0.3622105395221934
197,0.8958903406577223,0.9465148391112104,0.93554503632841,0.8958143620834135,0.5224756440721087,0.36154744389160526
198,0.8957830674933132,0.946458169964903,0.9354249242050473,0.895706460220221,0.52274613004024,0.36143208560807094
199,0.8959303847012255,0.9465359922904293,0.9355304956306021,0.895855715781853,0.5223719424242846,0.36100064347025307
200,0.896002304651526,0.9465739826614332,0.9354861612808029,0.8959270606430985,0.5221929842654338,0.36097641209398046
201,0.8961498079004638,0.9466518937288753,0.9356757747580686,0.8960730427414481,0.5218266182394408,0.36110484216797073
202,0.8962712969041565,0.9467160592829077,0.935671293282292,0.8961951552640233,0.5215199591427898,0.36042002402646417
203,0.8961992850533785,0.9466780260750627,0.9356861845434218,0.8961251760956539,0.5216957186865971,0.3610713021457953
204,0.8963375837018006,0.9467510674415959,0.9356709149041283,0.896262774474633,0.5213500705752317,0.3605225262800659
205,0.8964064697061827,0.9467874469521564,0.9357357919254617,0.8963309759195623,0.5211786630885398,0.3600415882817528
206,0.8964012421348041,0.946784686259132,0.9358083847867184,0.8963246454366963,0.521194575567026,0.3601155220430614
207,0.8965872878957291,0.946882932518974,0.9359098743253245,0.8965124239889413,0.5207223634439119,0.35994875385123676
208,0.8966571737016764,0.9469198348866048,0.9359106335337762,0.8965813535861162,0.5205489167223925,0.36042718564968246
209,0.8967847794000813,0.946987211846116,0.9359647554564479,0.8967089541903029,0.520227684238495,0.35969403665362987
210,0.8967900729487024,0.9469900067839695,0.9358999868724919,0.8967162931301136,0.5202092025421787,0.35945979595146044
211,0.8969712989162795,0.9470856872090724,0.9360150104549074,0.8968968530819187,0.5197542903454021,0.35961026832460424
212,0.8971535852691163,0.9471819177270613,0.9361323912596827,0.8970806063023528,0.5192909237116838,0.3589457954511611
213,0.8971899501787132,0.9472011139028059,0.9361691089519489,0.8971175189610799,0.5191977919559337,0.35866133171179476
214,0.8971540296242524,0.9471821522939776,0.9361538834594643,0.8970796933824502,0.5192932268245918,0.35883932338881097
215,0.8975214632235073,0.9473760938632063,0.936277864186411,0.8974453521624178,0.5183699246552379,0.35828504428706603
216,0.8975161269473773,0.9473732775138726,0.93631115779977,0.8974423688373754,0.5183774643170844,0.3581871420356023
217,0.8975952833253791,0.9474150533559086,0.9363659352415667,0.8975230395865467,0.5181735490913673,0.3582739481299107
218,0.8974667117988662,0.9473471970713091,0.9363077859601538,0.8973917601604605,0.5185053493007195,0.3582292146096247
219,0.8975449712308494,0.9473885006853574,0.9363350995056056,0.8974714920297373,0.5183038575150021,0.35820562201868317
220,0.8979400536541225,0.947596989048679,0.9367081744495209,0.89786627697095,0.5173050333220702,0.35724995648013186
221,0.8976868174317602,0.947463359413841,0.9363523461542396,0.8976134825831901,0.5179448366404181,0.35776113831355605
222,0.8979294195712343,0.9475913779531953,0.936447860656181,0.8978557788433548,0.5173316190301888,0.35770392035523785
223,0.8981984752655393,0.9477333355251037,0.9367639513734687,0.8981243460323246,0.5166510629263583,0.3567140682463041
224,0.898286490408352,0.9477797689380982,0.9366271124776573,0.8982130062031007,0.5164261988881995,0.35671256198396295
225,0.8980776295640379,0.9476695782624017,0.9366201747568835,0.8980039339483046,0.51695630101331,0.35696993335955274
226,0.8983401517915715,0.9478080775091388,0.9367748771897901,0.8982673861313373,0.5162882295344039,0.35662140389901253
227,0.8983653209143649,0.9478213549579717,0.9367059377408856,0.8982929813303796,0.5162232782332987,0.3567916262795943
228,0.8986100802640317,0.9479504629800193,0.9369651571844817,0.8985367110312986,0.5156043710274242,0.35632487760047493
229,0.8984216357936271,0.9478510620311758,0.9367327034708168,0.8983480816260235,0.5160834259935375,0.3565005877689458
230,0.8988126356251892,0.9480572955392452,0.9367765866964899,0.898741121184351,0.5150847352771176,0.3560356137312437
231,0.8985990286757561,0.9479446337607261,0.9366767039929609,0.8985265104483372,0.5156302884455974,0.3561790539724324
232,0.8986277226203714,0.9479597684608626,0.9367261991793733,0.8985550179831476,0.5155578538570147,0.35637973823664304
233,0.8989793548987093,0.9481452182544142,0.937034846800258,0.8989061715852149,0.5146647740127182,0.3556707493810193
234,0.8990529476904712,0.9481840262789019,0.937119449486001,0.8989806867949314,0.5144750620209573,0.3554682111739687
235,0.8991910838264829,0.948256865952725,0.9371216033834644,0.8991192230276606,0.5141221696519666,0.35468822516355025
236,0.8992377497391414,0.9482814717894387,0.9370521361463737,0.899165979295065,0.5140030130576876,0.3551227052467131
237,0.8992566515828619,0.9482914381047974,0.9371387370709903,0.8991846361917253,0.5139554589452103,0.35492985419178097
238,0.8996250576070939,0.9484856654726486,0.9373434299084789,0.8995549304562751,0.5130107128796132,0.3546523195427464
239,0.8991405025703074,0.9482301949264792,0.9371144341554438,0.8990667024340626,0.5142559834904815,0.35481889931726346
240,0.8993700944594158,0.9483512505709156,0.9371913389438633,0.8992974655144449,0.5136677771963104,0.3547771130207775
241,0.8999792266954176,0.9486723494945015,0.9375354723480608,0.8999092188832023,0.5121051716102141,0.35365660271915067
242,0.899836450324252,0.9485970958864732,0.9372713079727052,0.8997649659161501,0.5124740671871224,0.35368914292076936
243,0.899607609893272,0.9484764677593601,0.9373083472707089,0.8995346174711025,0.5130625832813,0.35411404425418475
244,0.8997487990806292,0.9485508943017403,0.9372856980344519,0.8996789913707465,0.5126938021409656,0.3539930730661576
245,0.9001411991402648,0.9487577136130505,0.9377046237819325,0.9000704209812096,0.5116926176625729,0.3534037819441619
246,0.9004266933586453,0.9489081585478364,0.9376317529937881,0.9003575833987865,0.5109568765277116,0.3528405775179742
247,0.8999978794978418,0.9486821804470885,0.9374214369740674,0.8999276445490794,0.5120580328378799,0.3534931505148457
